天津频道,#genre#
金鹰纪实,http://192.168.18.6:6636/udp/225.1.1.124:5002
金鹰卡通,http://192.168.18.6:6636/udp/225.1.2.236:5002
精彩影视,http://192.168.18.6:6636/udp/225.1.1.141:5002
卡酷少儿,http://192.168.18.6:6636/udp/225.1.1.58:5002
快乐垂钓,http://192.168.18.6:6636/udp/225.1.2.18:5002
乐游,http://192.168.18.6:6636/udp/225.1.1.145:5002
梨园频道,http://192.168.18.6:6636/udp/225.1.2.104:5002
汽摩,http://192.168.18.6:6636/udp/225.1.1.205:5002
生活时尚,http://192.168.18.6:6636/udp/225.1.1.143:5002
生态环境,http://192.168.18.6:6636/udp/225.1.2.201:5002
书画,http://192.168.18.6:6636/udp/225.1.2.22:5002
四海钓鱼,http://192.168.18.6:6636/udp/225.1.2.117:5002
文物宝库,http://192.168.18.6:6636/udp/225.1.2.105:5002
武术世界,http://192.168.18.6:6636/udp/225.1.2.129:5002
优优宝贝,http://192.168.18.6:6636/udp/225.1.2.203:5002
游戏风云,http://192.168.18.6:6636/udp/225.1.1.135:5002
羽球精品赛事,http://192.168.18.6:6636/udp/225.1.2.1:5002
早期教育,http://192.168.18.6:6636/udp/225.1.2.207:5002
中国交通,http://192.168.18.6:6636/udp/225.1.2.57:5002
中国天气,http://192.168.18.6:6636/udp/225.1.2.120:5002
中华特产,http://192.168.18.6:6636/udp/225.1.2.248:5002
东方财经,http://192.168.18.6:6636/udp/225.1.1.247:5002
动漫秀场,http://192.168.18.6:6636/udp/225.1.1.134:5002
都市剧场,http://192.168.18.6:6636/udp/225.1.1.146:5002
法治天地,http://192.168.18.6:6636/udp/225.1.1.237:5002
爱体育,http://192.168.18.6:6636/udp/225.1.1.106:5002
足球,http://192.168.18.6:6636/udp/225.1.1.105:5002
财富天下,http://192.168.18.6:6636/udp/225.1.1.137:5002
新动漫,http://192.168.18.6:6636/udp/225.1.1.216:5002
高清测试,#genre#
CCTV4K,http://192.168.18.6:6636/udp/225.1.2.245:5002
北京卫视4K,http://192.168.18.6:6636/udp/225.1.2.246:5002
广东卫视4K,http://192.168.18.6:6636/udp/225.1.2.100:5002
深圳卫视4K,http://192.168.18.6:6636/udp/225.1.2.101:5002
山东卫视4K,http://192.168.18.6:6636/udp/225.1.2.106:5002
江苏卫视4K,http://192.168.18.6:6636/udp/225.1.2.107:5002
东方卫视4K,http://192.168.18.6:6636/udp/225.1.2.108:5002
浙江卫视4K,http://192.168.18.6:6636/udp/225.1.2.109:5002
四川卫视4K,http://192.168.18.6:6636/udp/225.1.2.111:5002
湖南卫视4K,http://192.168.18.6:6636/udp/225.1.2.110:5002
湖南卫视4K,http://192.168.18.6:6636/udp/225.1.2.206:5002
